Applicant_Income,Credit_Score,DTI_Ratio,Existing_Loans,Loan_Amount,Loan_Approved
82000,720,28,1,250000,1
45000,580,42,3,150000,0
120000,780,18,0,400000,1
33000,610,51,2,100000,0
95000,740,22,1,320000,1
61000,690,35,2,180000,1
28000,540,60,4,80000,0
74000,710,30,1,220000,1
52000,630,44,3,140000,0
110000,760,20,0,370000,1
39000,570,55,3,90000,0
88000,730,25,1,280000,1
47000,600,48,2,130000,0
130000,800,15,0,450000,1
66000,680,38,2,200000,1
31000,550,58,4,75000,0
79000,715,27,1,240000,1
54000,640,43,2,155000,0
105000,755,21,0,350000,1
42000,590,50,3,110000,0
91000,735,24,1,300000,1
35000,560,56,4,85000,0
68000,695,33,2,210000,1
57000,650,41,2,165000,0
115000,770,19,0,380000,1
44000,585,49,3,120000,0
83000,722,29,1,260000,1
29000,545,62,4,70000,0
76000,712,31,1,230000,1
50000,620,46,3,135000,0
98000,745,23,1,330000,1
37000,565,54,3,88000,0
71000,705,34,2,215000,1
60000,670,39,2,175000,0
125000,790,16,0,420000,1
32000,552,59,4,72000,0
86000,728,26,1,270000,1
48000,608,47,2,128000,0
108000,758,20,0,360000,1
41000,578,52,3,105000,0
93000,738,24,1,310000,1
36000,558,57,4,82000,0
69000,698,36,2,205000,1
55000,645,42,2,160000,0
118000,775,18,0,390000,1
43000,582,50,3,115000,0
80000,718,28,1,245000,1
27000,535,63,5,65000,0
77000,714,30,1,235000,1
53000,635,44,2,148000,0
100000,748,22,1,340000,1
38000,568,55,3,92000,0
72000,708,33,2,218000,1
58000,655,40,2,170000,0
122000,785,17,0,410000,1
30000,548,60,4,68000,0
85000,725,26,1,265000,1
46000,595,48,3,125000,0
112000,762,20,0,375000,1
40000,575,53,3,108000,0
90000,733,25,1,295000,1
34000,555,58,4,80000,0
67000,692,36,2,208000,1
56000,648,41,2,162000,0
116000,772,18,0,385000,1
44000,588,49,3,118000,0
81000,720,28,1,252000,1
26000,530,65,5,60000,0
75000,710,31,1,228000,1
51000,625,45,2,138000,0
97000,743,23,1,325000,1
36000,562,56,4,86000,0
70000,702,35,2,212000,1
59000,660,40,2,172000,0
123000,788,16,0,415000,1
31000,550,60,4,71000,0
87000,730,25,1,275000,1
49000,612,47,2,132000,0
107000,757,21,0,355000,1
42000,580,51,3,112000,0
92000,736,24,1,305000,1
35000,558,57,4,84000,0
68000,696,36,2,206000,1
57000,652,41,2,163000,0
117000,773,18,0,388000,1
45000,590,49,3,122000,0
82000,721,28,1,255000,1
28000,540,62,4,67000,0
76000,713,30,1,232000,1
52000,632,44,2,142000,0
101000,750,22,1,342000,1
39000,570,54,3,95000,0
73000,708,34,2,220000,1
61000,672,38,2,178000,0
126000,791,15,0,425000,1
33000,554,59,4,74000,0
88000,731,25,1,282000,1
50000,618,46,3,136000,0
110000,760,20,0,368000,1
43000,583,50,3,116000,0
94000,739,24,1,315000,1
37000,563,56,4,89000,0
71000,704,35,2,214000,1
55000,644,42,2,158000,0
119000,776,17,0,392000,1
46000,593,48,3,126000,0
83000,723,27,1,258000,1
29000,543,62,5,63000,0
78000,716,30,1,238000,1
54000,638,43,2,152000,0
103000,752,22,1,345000,1
